['广州', '南京厚建云计算有限公司广州分公司', '50-150人', '本科', 'python开发工程师', '全职', '9k-18k', '1-3年']
['北京', '北京向上一心科技有限公司', '500-2000人', '本科', 'python开发工程师', '全职', '20k-40k', '不限']
['上海', '上海微创软件股份有限公司', '2000人以上', '本科', 'python开发', '全职', '15k-17k', '1-3年']
['南京', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python', '全职', '10k-20k', '1-3年']
['北京', '上海微创软件股份有限公司', '2000人以上', '本科', 'Python开发工程师', '全职', '14k-17k', '1-3年']
['南京', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python', '全职', '10k-20k', '3-5年']
['杭州', '杭州览众数据科技有限公司', '150-500人', '本科', 'Python工程师', '全职', '20k-40k', '3-5年']
['上海', '上海合阔信息技术有限公司', '15-50人', '本科', 'python', '全职', '18k-35k', '3-5年']
['深圳', '深圳市橙智科技有限公司', '15-50人', '本科', 'python开发工程师', '全职', '15k-30k', '不限']
['北京', '生仝智能科技（北京）有限公司', '15-50人', '硕士', 'python工程师', '全职', '14k-28k', '不限']
['北京', '武汉佰钧成技术有限责任公司', '2000人以上', '大专', 'python', '全职', '12k-20k', '5-10年']
['长沙', '开易（北京）科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '8k-12k', '1-3年']
['杭州', '武汉佰钧成技术有限责任公司', '2000人以上', '本科', 'python', '全职', '14k-18k', '3-5年']
['上海', '上海雪湖科技有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '10k-20k', '1-3年']
['深圳', '爱客科技（深圳）有限公司', '50-150人', '本科', '高级 Python 工程师', '全职', '25k-35k', '5-10年']
['广州', '南京厚建云计算有限公司广州分公司', '50-150人', '本科', 'python开发工程师', '全职', '9k-18k', '1-3年']
['北京', '北京向上一心科技有限公司', '500-2000人', '本科', 'python开发工程师', '全职', '20k-40k', '不限']
['上海', '上海微创软件股份有限公司', '2000人以上', '本科', 'python开发', '全职', '15k-17k', '1-3年']
['南京', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python', '全职', '10k-20k', '1-3年']
['北京', '上海微创软件股份有限公司', '2000人以上', '本科', 'Python开发工程师', '全职', '14k-17k', '1-3年']
['南京', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python', '全职', '10k-20k', '3-5年']
['杭州', '杭州览众数据科技有限公司', '150-500人', '本科', 'Python工程师', '全职', '20k-40k', '3-5年']
['深圳', '深圳市橙智科技有限公司', '15-50人', '本科', 'python开发工程师', '全职', '15k-30k', '不限']
['北京', '武汉佰钧成技术有限责任公司', '2000人以上', '大专', 'python', '全职', '12k-20k', '5-10年']
['上海', '上海合阔信息技术有限公司', '15-50人', '本科', 'python', '全职', '18k-35k', '3-5年']
['长沙', '开易（北京）科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '8k-12k', '1-3年']
['北京', '生仝智能科技（北京）有限公司', '15-50人', '硕士', 'python工程师', '全职', '14k-28k', '不限']
['杭州', '武汉佰钧成技术有限责任公司', '2000人以上', '本科', 'python', '全职', '14k-18k', '3-5年']
['上海', '上海雪湖科技有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '10k-20k', '1-3年']
['深圳', '爱客科技（深圳）有限公司', '50-150人', '本科', '高级 Python 工程师', '全职', '25k-35k', '5-10年']
